,id,track_name,artist_name,artist_pop,artist_genres,album,track_pop,valence,energy,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,mode,key,tempo,duration_ms,time_signature,mood
3177,4k9izZqQMgE5nSGYFXQSHZ,Holiday - Kyson Remix,Drinker,20,chill pop,Holiday (Kyson Remix),30,0.156,0.361,0.689,-12.871,0.0305,0.832,0.358,0.11,0,6,132.029,281728,4,calm
3178,3nUyfV0XhG8sysUfgEDmdI,Besidju,shamana,45,phonk,Besidju,60,0.221,0.413,0.747,-15.392,0.409,0.635,0.000792,0.123,0,5,105.053,107442,4,calm
3179,5qVW9YK5Hfm07IUiMHR3te,White Gemini,Beshken,34,vapor soul,Aisle of Palm,36,0.366,0.499,0.77,-9.334,0.0413,0.0611,0.261,0.667,1,0,132.05,218312,4,calm
3180,28atUbzCFihH4GA3dU1gVM,In Your Eyes (feat. Charlotte Day Wilson) [Nosaj Thing Remix],BADBADNOTGOOD,63,alternative hip hop,In Your Eyes (feat. Charlotte Day Wilson) [Nosaj Thing Remix],42,0.181,0.353,0.496,-9.386,0.0545,0.114,4.19e-06,0.0676,1,3,80.004,200504,4,calm
3181,5RxZ8rFeQPBqefaWqEk3Ex,Antasma,Sal Dulu,24,unknown,Antasma,35,0.71,0.677,0.6,-9.112,0.272,0.0142,0.0747,0.274,1,5,192.251,205680,4,calm
3182,4R1V7Ri8CP85PpRh56v0Is,Needy Bees,Nick Hakim,51,alternative r&b,Green Twins,43,0.102,0.419,0.296,-8.169,0.0331,0.516,0.00684,0.103,1,11,57.906,211827,4,calm
3183,6fKX7zoYa5nfpHnnmcKg6t,After the Tone with Lossapardo,Crayon,49,indie soul,After the Tone with Lossapardo,37,0.225,0.186,0.802,-13.562,0.0676,0.734,0.366,0.101,0,10,128.081,153700,4,calm
3185,6aVohiCJIKSl1KRprTMOHX,Canyon,Glded,20,chill pop,Canyon,35,0.133,0.222,0.353,-18.344,0.0327,0.809,0.599,0.11,1,9,178.579,189446,3,calm
3186,2lskCyax2W4xf0OIvu1sus,With You,Oddysseys,18,unknown,With You,36,0.346,0.274,0.621,-20.155,0.0453,0.114,0.539,0.322,0,9,144.027,145208,4,calm
3187,6gtZgL7jUHYUQa3JvFJT90,Brother,mAsis,26,indie electropop,Brother,32,0.481,0.611,0.431,-7.951,0.109,0.389,3.73e-06,0.338,0,6,120.518,218000,4,calm
3188,5vJN5smjpdMrheQwqpGg0J,Mercury,Mind Bath,25,unknown,Baby You Can Free Your Mind,41,0.0763,0.288,0.484,-12.872,0.04,0.959,2.78e-05,0.111,1,0,105.471,335180,4,calm
3189,3ET5m4h9nZ1zMp2Sz9UAmr,Floating By (Mndsgn Remix),Washed Out,53,alternative dance,Floating By (Mndsgn Remix),30,0.58,0.593,0.625,-6.183,0.048,0.334,0.00419,0.0883,0,6,99.107,237227,4,calm
3190,0v6dmK9TWQWY6NqBG7YVpK,The Edge of Forever,Work Drugs,32,chillwave,The Edge of Forever,29,0.574,0.643,0.586,-9.053,0.0284,0.162,0.0766,0.0975,0,5,152.004,299000,4,calm
3191,4QhE09tfHg4en4SJXC3pNV,All Lost,Jack Grace,29,aussietronica,River,27,0.386,0.97,0.574,-5.749,0.217,0.0413,0.914,0.0672,1,8,173.319,196569,4,calm
3192,2GfmhU4E6NgIlqxa0wlGoD,Never Meant To Call,Claud,50,bedroom pop,Never Meant to Call,31,0.731,0.654,0.74,-8.215,0.0389,0.165,0.0167,0.0986,0,2,149.957,177600,4,calm
3193,20rFBjhFg1BjcUZJ4dEVMv,Faces,Mantis Hands,18,unknown,Our,28,0.188,0.706,0.648,-7.947,0.0578,0.185,0.827,0.0987,1,5,139.903,212973,4,calm
3194,3nDP5r5PBBYnxxtXpUq74B,Get Light,Zola Blood,43,electronica,Infinite Games,32,0.118,0.328,0.602,-11.558,0.0298,0.735,0.113,0.109,1,7,113.93,208707,4,calm
3195,2qyY0gUp1hpDjVQlDshWWX,Yellow Dust,Miink,30,experimental r&b,Small Clan,34,0.266,0.39,0.668,-8.636,0.0366,0.701,0.0318,0.206,1,6,89.036,232313,4,calm
3196,5VnaOLeK1lKfULuNwet8ck,Flowers,In Love With a Ghost,54,future bass,Let's Go,61,0.32,0.24,0.641,-19.107,0.047,0.979,0.866,0.234,1,8,99.02,252121,4,calm
3198,5na891PVMDeKiiAXYGtT0k,Nylon,Kllo,45,aussietronica,Backwater,30,0.335,0.214,0.352,-15.969,0.037,0.932,0.0927,0.112,0,11,165.649,254011,4,calm
3199,2pHmVgvvl7IJdxaofJ88YX,They Came Along,Haulm,25,brooklyn indie,They Came Along,32,0.0723,0.469,0.591,-7.451,0.0538,0.811,0.83,0.137,0,5,113.995,357895,4,calm
3200,3pq5SHP8DwySlbUL0KIoRy,another time (world$tar money),simon eng,30,lo-fi beats,another time (world$tar money),39,0.072,0.202,0.346,-18.434,0.135,0.712,0.0262,0.0873,1,7,79.899,181682,4,calm
3201,6uSNQLr7hNFCsRCY0C2WJ9,Slow Burn,Jack Grace,29,aussietronica,Slow Burn,31,0.218,0.179,0.443,-16.729,0.0492,0.941,0.109,0.111,1,2,131.975,216140,4,calm
3202,6ilPGjQvpV8PdA2lCeCfn1,Plastic,Moses Sumney,51,alternative r&b,Aromanticism,48,0.132,0.213,0.39,-13.109,0.0503,0.969,0.0152,0.0953,1,11,119.368,188557,4,calm
3203,5C4sp6JprCFTO9ZQcg4qXs,By,HNNY,53,deep house,Hosoi,55,0.301,0.427,0.679,-11.273,0.0753,0.621,0.564,0.102,0,2,168.103,166345,4,calm
3204,77DvRscXwJ3N1xDyDch9KS,The Falls,Brother Mynor,20,unknown,Passionfruit Falls,33,0.317,0.101,0.438,-23.816,0.069,0.852,0.858,0.0748,0,1,149.78,101470,3,calm
3205,7N2KPKZAutekLgLNEg2AOF,All Over Me,Bedstudy,13,unknown,All Over Me,30,0.553,0.701,0.539,-9.058,0.0324,0.396,0.0999,0.0803,0,1,94.939,215107,4,calm
3206,2wfqHxQtKQxHrsscsJRNrM,Your Own Truth,James Forest,26,unknown,Your Own Truth,38,0.132,0.233,0.537,-17.006,0.0369,0.647,0.688,0.113,1,0,84.978,293613,4,calm
3207,1MKS0c8KhGm84hQcYlzFtv,Ayahuasca,Vancouver Sleep Clinic,17,unknown,Ayahuasca,20,0.0535,0.228,0.47,-15.717,0.0338,0.734,0.108,0.0691,0,4,148.0,508602,4,calm
3208,1f5eDiILUNeftOB26e6LB1,Money,LEISURE,60,auckland indie,Twister,60,0.782,0.48,0.822,-8.529,0.0499,0.0213,0.546,0.0723,1,5,90.002,239000,4,calm
3209,1He6UQuHm8q2skPrOFKnja,Lagoon,Laura Misch,40,indie jazz,Lagoon,40,0.244,0.343,0.745,-11.836,0.0301,0.671,0.604,0.129,0,9,99.999,255215,4,calm
3210,3xSDwNpuoAnenzHEXJRWZg,In Silence,Thrupence,40,aussietronica,In Silence,30,0.251,0.635,0.451,-7.769,0.0519,0.0986,0.787,0.111,0,3,120.764,258843,4,calm
3211,6oToGY0yfiDHiL13kOvZyr,Tonight,Mishegas,48,new french touch,Tonight,46,0.102,0.645,0.601,-8.512,0.0318,0.227,0.271,0.0837,1,4,124.996,192364,4,calm
3212,4QcDn3z7Nx8Zo6Fod2Tdk5,Zender,Vesce,19,unknown,Self Edit,36,0.187,0.316,0.441,-13.173,0.118,0.916,0.308,0.138,1,9,147.218,236842,4,calm
3213,2E9EabdPii2mjeckhy1dhP,Edition,Rex Orange County,78,bedroom pop,Edition,59,0.261,0.331,0.857,-10.264,0.219,0.807,0.0,0.106,1,1,140.949,115000,4,calm
3214,54xvG8lA7vsaEnsppZECaL,thankful,Meltycanon,42,lo-fi rap,Old Compilation 3,47,0.194,0.0779,0.76,-20.81,0.0906,0.556,5.29e-06,0.068,1,9,105.998,146865,4,calm
3215,69tms8bn7pYZck6hJw6X1e,Words I Don't Remember,How To Dress Well,30,chillwave,"""What Is This Heart?"" (Deluxe Edition)",30,0.207,0.213,0.533,-13.437,0.0342,0.849,0.565,0.449,0,3,80.004,378253,4,calm
3216,4iYwaMVjH0E0QuSTWZlWg7,downstate - Ara Koufax Remix,Jack Grace,29,aussietronica,downstate (Ara Koufax Remix),29,0.533,0.663,0.63,-8.445,0.171,0.355,0.179,0.0907,1,8,127.001,278959,4,calm
